#,Kanji,Radical,# Strokes,Grade,Meaning,Readings
41,一 ,一 ,1,1,one ,イチ、イツ、ひと、ひと-つ
58,右 ,口 ,5,1,right (direction) ,ウ、ユウ、みぎ
61,雨 ,雨 ,8,1,rain ,ウ、あめ、（あま）
87,円 ,囗 ,4,1,"round, yen ",エン、まる-い
105,王 ,玉 ,4,1,king ,オウ
127,音 ,音 ,9,1,sound ,オン、イン、おと、ね
131,下 ,一 ,3,1,below ,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
133,火 ,火 ,4,1,fire ,カ、ひ、（ほ）
138,花 ,艸 ,7,1,flower ,カ、はな
196,貝 ,貝 ,7,1,shellfish ,かい
226,学 ,子 ,8,1,study ,ガク、まな-ぶ
305,気 ,气 ,6,1,feeling ,キ、ケ
359,九 ,乙 ,2,1,nine ,キュウ、ク、ここの、ここの-つ
365,休 ,人 ,6,1,rest ,キュウ、やす-む、やす-まる、やす-める
427,玉 ,玉 ,5,1,ball ,ギョク、たま
432,金 ,金 ,8,1,gold ,キン、コン、かね、（かな）
452,空 ,穴 ,8,1,sky ,クウ、そら、あ-く、あ-ける、から
513,月 ,月 ,4,1,"month, moon ",ゲツ、ガツ、つき
514,犬 ,犬 ,4,1,dog ,ケン、いぬ
516,見 ,見 ,7,1,see ,ケン、み-る、み-える、み-せる
576,五 ,二 ,4,1,five ,ゴ、いつ、いつ-つ
587,口 ,口 ,3,1,mouth ,コウ、ク、くち
623,校 ,木 ,10,1,school ,コウ
682,左 ,工 ,5,1,left (direction) ,サ、ひだり
744,三 ,一 ,3,1,three ,サン、み、み-つ、みっ-つ
745,山 ,山 ,3,1,mountain ,サン、やま
760,子 ,子 ,3,1,child ,シ、ス、こ
767,四 ,囗 ,5,1,four ,シ、よ、よ-つ、よっ-つ、よん
772,糸 ,糸 ,6,1,thread ,シ、いと
807,字 ,子 ,6,1,letter ,ジ、あざ
810,耳 ,耳 ,6,1,ear ,ジ、みみ
829,七 ,一 ,2,1,seven ,シチ、なな、なな-つ、（なの）
843,車 ,車 ,7,1,car ,シャ、くるま
863,手 ,手 ,4,1,hand ,シュ、て、（た）
907,十 ,十 ,2,1,ten ,ジュウ、ジッ、とお、と
926,出 ,凵 ,5,1,exit ,シュツ、（スイ）、で-る、だ-す
952,女 ,女 ,3,1,woman ,ジョ、ニョ、（ニョウ）、おんな、め
959,小 ,小 ,3,1,small ,ショウ、ちい-さい、こ、お
